Annotation Cluster 1	EnrichmentScore:11.297259655663462
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0042613~MHC class II protein complex	10	47.61904761904761	1.566574120939148e-22	ENSG00000019582, ENSG00000204257, ENSG00000223865, ENSG00000179344, ENSG00000231389, ENSG00000196126, ENSG00000204287, ENSG00000198502, ENSG00000196735, ENSG00000237541	20	26	20587	395.90384615384613	9.712759549822717e-21	9.712759549822717e-21	7.362898368413995e-19
GOTERM_MF_DIRECT	GO:0023026~MHC class II protein complex binding	10	47.61904761904761	7.417020874738404e-22	ENSG00000019582, ENSG00000204257, ENSG00000223865, ENSG00000179344, ENSG00000231389, ENSG00000196126, ENSG00000204287, ENSG00000198502, ENSG00000196735, ENSG00000237541	20	28	18913	337.7321428571429	4.7468933598325787e-20	4.7468933598325787e-20	4.746893359832579e-18
GOTERM_BP_DIRECT	GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II	10	47.61904761904761	2.4397440949717784e-21	ENSG00000019582, ENSG00000204257, ENSG00000223865, ENSG00000179344, ENSG00000231389, ENSG00000196126, ENSG00000204287, ENSG00000198502, ENSG00000196735, ENSG00000237541	20	32	19357	302.453125	3.586423819608514e-19	1.83493486953308e-19	1.6102489671412745e-17
GOTERM_BP_DIRECT	GO:0002381~immunoglobulin production involved in immunoglobulin mediated immune response	9	42.857142857142854	3.744765039863429e-21	ENSG00000204257, ENSG00000223865, ENSG00000179344, ENSG00000231389, ENSG00000196126, ENSG00000204287, ENSG00000198502, ENSG00000196735, ENSG00000237541	20	17	19357	512.3911764705882	5.50480460859924e-19	1.83493486953308e-19	1.6102489671412745e-17
GOTERM_BP_DIRECT	GO:0002503~peptide antigen assembly with MHC class II protein complex	9	42.857142857142854	3.744765039863429e-21	ENSG00000204257, ENSG00000223865, ENSG00000179344, ENSG00000231389, ENSG00000196126, ENSG00000204287, ENSG00000198502, ENSG00000196735, ENSG00000237541	20	17	19357	512.3911764705882	5.50480460859924e-19	1.83493486953308e-19	1.6102489671412745e-17
GOTERM_BP_DIRECT	GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	9	42.857142857142854	1.937159830541857e-20	ENSG00000204257, ENSG00000223865, ENSG00000179344, ENSG00000231389, ENSG00000196126, ENSG00000204287, ENSG00000198502, ENSG00000196735, ENSG00000237541	20	20	19357	435.53249999999997	2.84762495089653e-18	7.119062377241325e-19	6.247340453497489e-17
UP_KW_CELLULAR_COMPONENT	KW-0491~MHC II	9	42.857142857142854	4.030197357543782e-20	ENSG00000204257, ENSG00000223865, ENSG00000179344, ENSG00000231389, ENSG00000196126, ENSG00000204287, ENSG00000198502, ENSG00000196735, ENSG00000237541	20	20	17662	397.395	5.642276300561295e-19	5.642276300561295e-19	5.642276300561295e-17
INTERPRO	IPR014745:MHC class II, alpha/beta chain, N-terminal	9	42.857142857142854	7.157980315117406e-20	ENSG00000204257, ENSG00000223865, ENSG00000179344, ENSG00000231389, ENSG00000196126, ENSG00000204287, ENSG00000198502, ENSG00000196735, ENSG00000237541	19	24	19139	377.7434210526315	3.0063517323493105e-18	3.0063517323493105e-18	3.0063517323493104e-16
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	10	47.61904761904761	7.656327278058145e-20	ENSG00000019582, ENSG00000204257, ENSG00000223865, ENSG00000179344, ENSG00000231389, ENSG00000196126, ENSG00000204287, ENSG00000198502, ENSG00000196735, ENSG00000237541	20	45	19357	215.07777777777778	1.1254801098745473e-17	2.2509602197490944e-18	1.9753324377390015e-16
GOTERM_CC_DIRECT	GO:0071556~integral component of lumenal side of endoplasmic reticulum membrane	9	42.857142857142854	4.0140324019539253e-19	ENSG00000019582, ENSG00000223865, ENSG00000179344, ENSG00000231389, ENSG00000196126, ENSG00000204287, ENSG00000198502, ENSG00000196735, ENSG00000237541	20	29	20587	319.4534482758621	2.4887000892114336e-17	8.295666964038114e-18	6.288650763061149e-16
GOTERM_CC_DIRECT	GO:0098553~lumenal side of endoplasmic reticulum membrane	9	42.857142857142854	4.0140324019539253e-19	ENSG00000019582, ENSG00000223865, ENSG00000179344, ENSG00000231389, ENSG00000196126, ENSG00000204287, ENSG00000198502, ENSG00000196735, ENSG00000237541	20	29	20587	319.4534482758621	2.4887000892114336e-17	8.295666964038114e-18	6.288650763061149e-16
