Annotation Cluster 1	EnrichmentScore:2.5065457161905615
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04630:JAK-STAT signaling pathway	6	13.043478260869565	4.994745739900365e-05	ENSG00000137193, ENSG00000114737, ENSG00000120833, ENSG00000171791, ENSG00000105639, ENSG00000136997	22	166	8205	13.480284775465499	0.00518119635925729	0.00519453556949638	0.519453556949638
SMART	SM00252:SH2	4	8.695652173913043	0.0009856455672651262	ENSG00000074966, ENSG00000114737, ENSG00000120833, ENSG00000105639	21	104	10374	19.0	0.026274219154787337	0.026612430316158408	2.661243031615841
INTERPRO	IPR000980:SH2 domain	4	8.695652173913043	0.001563423360785163	ENSG00000074966, ENSG00000114737, ENSG00000120833, ENSG00000105639	41	110	19139	16.97472283813747	0.14617525682876487	0.15790575943930146	15.790575943930147
UP_KW_DOMAIN	KW-0727~SH2 domain	4	8.695652173913043	0.002032844736397679	ENSG00000074966, ENSG00000114737, ENSG00000120833, ENSG00000105639	35	108	14500	15.343915343915343	0.028086813466596583	0.028459826309567508	2.8459826309567506
UP_SEQ_FEATURE	DOMAIN:SH2	3	6.521739130434782	0.02210934383263652	ENSG00000074966, ENSG00000114737, ENSG00000120833	45	107	20516	12.782554517133956	0.9982128792866829	1.0	100.0
GOTERM_BP_DIRECT	GO:0035556~intracellular signal transduction	3	6.521739130434782	0.26407961882139386	ENSG00000114737, ENSG00000120833, ENSG00000105639	44	450	19357	2.9328787878787876	1.0	1.0	100.0
Annotation Cluster 2	EnrichmentScore:1.9789547712242983
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04630:JAK-STAT signaling pathway	6	13.043478260869565	4.994745739900365e-05	ENSG00000137193, ENSG00000114737, ENSG00000120833, ENSG00000171791, ENSG00000105639, ENSG00000136997	22	166	8205	13.480284775465499	0.00518119635925729	0.00519453556949638	0.519453556949638
BIOCARTA	h_il2rbPathway:IL-2 Receptor Beta Chain in T cell Activation	3	6.521739130434782	0.007943134135240094	ENSG00000171791, ENSG00000105639, ENSG00000136997	7	39	1623	17.835164835164836	0.24355065735618442	0.2780096947334033	27.80096947334033
KEGG_PATHWAY	hsa05200:Pathways in cancer	6	13.043478260869565	0.009526144343201969	ENSG00000102096, ENSG00000137193, ENSG00000171791, ENSG00000090554, ENSG00000105639, ENSG00000136997	22	531	8205	4.21417565485362	0.6304495684590623	0.3245111087144391	32.45111087144391
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	4	8.695652173913043	0.05955725713364175	ENSG00000171791, ENSG00000090554, ENSG00000105639, ENSG00000136997	22	354	8205	4.214175654853621	0.9983151339296565	1.0	100.0
KEGG_PATHWAY	hsa05161:Hepatitis B	3	6.521739130434782	0.06367998880306751	ENSG00000171791, ENSG00000105639, ENSG00000136997	22	162	8205	6.906565656565657	0.9989330900841423	1.0	100.0
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	3	6.521739130434782	0.09330636408944332	ENSG00000171791, ENSG00000105639, ENSG00000136997	22	202	8205	5.538928892889289	0.9999623383786952	1.0	100.0
Annotation Cluster 3	EnrichmentScore:1.667511792909055
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04630:JAK-STAT signaling pathway	6	13.043478260869565	4.994745739900365e-05	ENSG00000137193, ENSG00000114737, ENSG00000120833, ENSG00000171791, ENSG00000105639, ENSG00000136997	22	166	8205	13.480284775465499	0.00518119635925729	0.00519453556949638	0.519453556949638
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	6	13.043478260869565	0.005694506541987544	ENSG00000102096, ENSG00000137193, ENSG00000120833, ENSG00000171791, ENSG00000136997, ENSG00000141576	44	520	19357	5.076136363636364	0.9453490165514022	1.0	100.0
GOTERM_BP_DIRECT	GO:0000082~G1/S transition of mitotic cell cycle	3	6.521739130434782	0.009448969140373013	ENSG00000102096, ENSG00000171791, ENSG00000136997	44	66	19357	19.99690082644628	0.9920325594948416	1.0	100.0
KEGG_PATHWAY	hsa05200:Pathways in cancer	6	13.043478260869565	0.009526144343201969	ENSG00000102096, ENSG00000137193, ENSG00000171791, ENSG00000090554, ENSG00000105639, ENSG00000136997	22	531	8205	4.21417565485362	0.6304495684590623	0.3245111087144391	32.45111087144391
